#,,,,,,,,
Bo Horvat,Center,Apr 5 1995,London ONT,6,223,L,,
2014-15,Vancouver Canucks,68,13,12,25,16,,
2015-16,Vancouver Canucks,82,16,24,40,18,,
2016-17,Vancouver Canucks,81,20,32,52,27,,
#,,,,,,,,
Henrik Sedin,Center,Sep 26 1980,Ornskoldsvik Sweden,6.02,188,L,,
2000-01,Vancouver Canucks,82,9,20,29,38,,
2001-02,Vancouver Canucks,82,16,20,36,36,,
2002-03,Vancouver Canucks,78,8,31,39,38,,
2003-04,Vancouver Canucks,76,11,31,42,32,,
2005-06,Vancouver Canucks,82,18,57,75,56,,
2006-07,Vancouver Canucks,82,10,71,81,66,,
2007-08,Vancouver Canucks,82,15,61,76,56,,
2008-09,Vancouver Canucks,82,22,60,82,48,,
2009-10,Vancouver Canucks,82,29,83,112,48,,
2010-11,Vancouver Canucks,82,19,75,94,40,,
2011-12,Vancouver Canucks,82,14,67,81,52,,
2012-13,Vancouver Canucks,48,11,34,45,24,,
2013-14,Vancouver Canucks,70,11,39,50,42,,
2014-15,Vancouver Canucks,82,18,55,73,22,,
2015-16,Vancouver Canucks,74,11,44,55,24,,
2016-17,Vancouver Canucks,82,15,36,51,28,,
#,,,,,,,,
Daniel Sedin,Left Wing,Sep 26 1980,Ornskoldsvik Sweden,6.01,187,L,,
2000-01,Vancouver Canucks,75,20,14,34,24,,
2001-02,Vancouver Canucks,79,9,23,32,32,,
2002-03,Vancouver Canucks,79,14,17,31,34,,
2003-04,Vancouver Canucks,82,18,36,54,18,,
2005-06,Vancouver Canucks,82,22,49,71,34,,
2006-07,Vancouver Canucks,81,36,48,84,36,,
2007-08,Vancouver Canucks,82,29,45,74,50,,
2008-09,Vancouver Canucks,82,31,51,82,36,,
2009-10,Vancouver Canucks,63,29,56,85,28,,
2010-11,Vancouver Canucks,82,41,63,104,32,,
2011-12,Vancouver Canucks,72,30,37,67,40,,
2012-13,Vancouver Canucks,47,12,28,40,18,,
2013-14,Vancouver Canucks,73,16,31,47,38,,
2014-15,Vancouver Canucks,82,20,56,76,18,,
2015-16,Vancouver Canucks,82,28,33,61,36,,
2016-17,Vancouver Canucks,82,15,29,44,32,,
#,,,,,,,,
Sven Baertschi,Left Wing,Oct 5 1992,Bern Switzerland,5.11,190,L,,
2012-13,Calgary Flames,20,3,7,10,6,,
2013-14,Calgary Flames,26,2,9,11,6,,
2014-15,Calgary Flames,15,0,4,4,6,,
2015-16,Vancouver Canucks,69,15,13,28,14,,
2016-17,Vancouver Canucks,68,18,17,35,8,,
#,,,,,,,,
Brandon Sutter,Center,Feb 14 1989,Huntington NY,6.03,190,R,,
2009-10,Carolina Hurricanes,72,21,19,40,2,,
2010-11,Carolina Hurricanes,82,14,15,29,25,,
2011-12,Carolina Hurricanes,82,17,15,32,21,,
2012-13,Pittsburgh Penguins,48,11,8,19,4,,
2013-14,Pittsburgh Penguins,81,13,13,26,12,,
2014-15,Pittsburgh Penguins,80,21,12,33,14,,
2015-16,Vancouver Canucks,20,5,4,9,2,,
2016-17,Vancouver Canucks,81,17,17,34,12,,
#,,,,,,,,
Markus Granlund,Center,Apr 16 1993,Oulu Finland,6,178,L,,
2013-14,Calgary Flames,7,2,1,3,0,,
2014-15,Calgary Flames,48,8,10,18,16,,
2015-16,Calgary Flames,31,4,3,7,8,,
2015-16,Vancouver Canucks,16,2,1,3,6,,
2016-17,Vancouver Canucks,69,19,13,32,14,,
#,,,,,,,,
Loui Eriksson,Left Wing,Jul 17 1985,Goteborg Sweden,6.02,196,L,,
2006-07,Dallas Stars,59,6,13,19,18,,
2007-08,Dallas Stars,69,14,17,31,28,,
2008-09,Dallas Stars,82,36,27,63,14,,
2009-10,Dallas Stars,82,29,42,71,26,,
2010-11,Dallas Stars,79,27,46,73,8,,
2011-12,Dallas Stars,82,26,45,71,12,,
2012-13,Dallas Stars,48,12,17,29,8,,
2013-14,Boston Bruins,61,10,27,37,6,,
2014-15,Boston Bruins,81,22,25,47,14,,
2015-16,Boston Bruins,82,30,33,63,12,,
2016-17,Vancouver Canucks,65,11,13,24,8,,
#,,,,,,,,
Alexander Edler,Defense,Apr 21 1986,Ostersund Sweden,6.03,215,L,,
2007-08,Vancouver Canucks,75,8,12,20,42,6,
2008-09,Vancouver Canucks,80,10,27,37,54,11,
2009-10,Vancouver Canucks,76,5,37,42,40,0,
2010-11,Vancouver Canucks,51,8,25,33,24,13,
2011-12,Vancouver Canucks,82,11,38,49,34,0,
2012-13,Vancouver Canucks,45,8,14,22,37,-5,
2013-14,Vancouver Canucks,63,7,15,22,50,-39,
2014-15,Vancouver Canucks,74,8,23,31,54,13,
2015-16,Vancouver Canucks,52,6,14,20,46,-8,
2016-17,Vancouver Canucks,68,6,15,21,36,-20,
#,,,,,,,,
Troy Stecher,Defense,Apr 7 1994,Richmond BC,5.1,190,R,,
2016-17,Vancouver Canucks,71,3,21,24,25,-16,"				"
#,,,,,,,,
Ben Hutton,Defense,Apr 20 1993,Brockville ONT,6.02,207,L,,
2015-16,Vancouver Canucks,75,1,24,25,14,-21,
2016-17,Vancouver Canucks,71,5,14,19,31,-22,"				"
#,,,,,,,,
Luca Sbisa,Defense,Jan 30 1990,Ozieri Italy,6.02,209,L,,
2010-11,Anaheim Ducks,68,2,9,11,43,-11,
2011-12,Anaheim Ducks,80,5,19,24,66,-5,
2012-13,Anaheim Ducks,41,1,7,8,23,0,
2013-14,Anaheim Ducks,30,1,5,6,43,0,
2014-15,Vancouver Canucks,76,3,8,11,46,-8,
2015-16,Vancouver Canucks,41,2,6,8,26,5,
2016-17,Vancouver Canucks,82,2,11,13,40,-1,
#,,,,,,,,
Chris Tanev,Defense,Dec 20 1989,Toronto ONT,6.02,185,R,,
2010-11,Vancouver Canucks,29,0,1,1,0,0,
